1,Tom Lasorda,MGR,Topps,254,1989,GOOD,,
2,Sparky Anderson,MGR,Topps,609,1990,EXCELLENT,,
3,Jose DeLeon,P,Topps,85,1992,EXCELLENT,,
4,Cris Carpenter,P,Topps,147,1992,EXCELLENT,,
5,RJ Reynolds,RF,Score,273,1991,EXCELLENT,,
6,Mike Stanley,C,Topps,587,1989,GOOD,,
7,Roger Craig,MGR,Topps,744,1989,EXCELLENT,,
8,Tim Belcher,P,Upper Deck,668,1991,EXCELLENT,,
9,Albert Hall,OF,Topps,433,1989,EXCELLENT,,
10,Carmello Castillo,OF,Topps,427,1990,GOOD,,
11,Pat Sheridan,OF,Topps,422,1990,EXCELLENT,,
12,Paul Assenmacher,P,Topps,644,1990,EXCELLENT,,
13,Gary Redus,OF,Topps,507,1990,EXCELLENT,,
14,Rick Aguilera,P,Topps,711,1990,EXCELLENT,,
15,Shawn Abner,OF,Topps,122,1990,EXCELLENT,,
16,Rod Nichols,P,Topps,108,1990,FAIR,,
17,Rex Hudler,2B,Topps,647,1990,EXCELLENT,,
18,Wally Backman,2B,Topps,218,1990,EXCELLENT,,
19,John Hart,MGR,Topps,141,1990,EXCELLENT,,
20,Ray Searage,P,Topps,84,1990,EXCELLENT,,
21,Dale Sveum,SS,Topps,739,1990,EXCELLENT,,
22,Mike Stanton,P,Topps,694,1990,FAIR,,
23,Rafael Santana,SS,Topps,651,1990,GOOD,,
24,Pete O'Brien,1B,Topps,265,1990,EXCELLENT,,
25,Bob Rodgers,MGR,Topps,81,1990,EXCELLENT,,
26,Bob Knepper,P,Topps,104,1990,EXCELLENT,,
27,Richard Dotson,P,Topps,169,1990,EXCELLENT,,
28,Lenny Webster,C,Topps,585,1992,EXCELLENT,,
29,Bip Roberts,OF,Topps,20,1992,EXCELLENT,,
30,Brett Butler,OF,Topps,655,1992,GOOD,,
31,Gary Pettis,OF,Topps,756,1992,EXCELLENT,,
32,Jose Rijo,P,Topps,220,1992,GOOD,,
33,Juan Berenguer,P,Topps,172,1992,EXCELLENT,,
34,John Franco,P,Topps,690,1992,EXCELLENT,,
35,Chuck Crim,P,Topps,466,1989,EXCELLENT,,
36,Greg Brock,1B,Topps,517,1989,EXCELLENT,,
37,Mark Clear,P,Topps,63,1989,EXCELLENT,,
38,Garry Templeton,SS,Topps,121,1989,EXCELLENT,,
39,Tony Armas,OF,Topps,332,1989,EXCELLENT,,
40,Juan Castillo,SS-2B,Topps,538,1989,EXCELLENT,,
41,Les Straker,P,Topps,101,1989,EXCELLENT,,
42,Darnell Coles,OF,Topps,738,1989,EXCELLENT,,
43,Atlee Hammaker,P,Topps,572,1989,EXCELLENT,,
44,Mike LaCoss,P,Topps,417,1989,EXCELLENT,,
45,Charles Hudson,P,Topps,236,1989,EXCELLENT,,
46,Wade Boggs,3B,Score,393,1991,EXCELLENT,,
47,Kirk Gibson,OF,Topps,150,1990,FAIR,,
48,Tim Leary,P,Topps,516,1990,EXCELLENT,,
49,Rafael Ramirez,SS,Topps,558,1990,EXCELLENT,,
50,Larry Walker,OF,Topps,757,1990,EXCELLENT,,
51,John Farrell,P,Topps,32,1990,GOOD,,
52,Danny Darwin,P,Topps,64,1990,EXCELLENT,,
53,Jim Gott,P,Topps,292,1990,GOOD,,
54,Bob McClure,P,Topps,458,1990,EXCELLENT,,
55,Frank Williams,P,Topps,599,1990,FAIR,,
56,John Franco,P,Topps,120,1990,EXCELLENT,,
57,Willie Fraser,P,Topps,477,1990,EXCELLENT,,
58,Adam Peterson,P,Topps,299,1990,EXCELLENT,,
59,Willie Wilson,OF,Topps,323,1990,EXCELLENT,,
60,Jeff Pico,P,Topps,613,1990,EXCELLENT,,
61,Ron Robinson,P,Topps,604,1990,EXCELLENT,,
62,Roger McDowell,P,Topps,625,1990,EXCELLENT,,
63,"Mel Stottlemyre, Jr.",P,Topps,263,1990,EXCELLENT,,
64,Ed Nunez,P,Topps,586,1990,EXCELLENT,,
65,George Brett,3B,Topps,400,1987,EXCELLENT,,
66,Doug Dascenzo,OF,Topps,509,1992,EXCELLENT,,
67,Dan Pasqua,OF-DH,Topps,107,1992,EXCELLENT,,
68,Greg Harris,P,Topps,636,1992,GOOD,,
69,Darrin Jackson,OF,Topps,88,1992,EXCELLENT,,
70,Terry Kennedy,C,Topps,253,1992,EXCELLENT,,
71,Paul O'Neill,OF,Topps,61,1992,FAIR,,
72,John Kruk,OF-1B,Topps,30,1992,EXCELLENT,,
73,Omar Olivares,P,Topps,193,1992,EXCELLENT,,
74,Milt Thompson,OF,Topps,128,1989,EXCELLENT,,
